oid,num_detections,redshift,distance_mpcZTF17aaaaaby,24,distance_mpc,first_mjd,last_mjd,first_utc,last_utc,duration_days,peak_luminosity,r_squared
ZTF17aaaabek,24,N/A (No catsHTM match),,,,58457.26366900001,60869.48663190007,2018-12-05T06:19:41.001600512+00:00,2025-07-13T11:40:44.996166144+00:00,2412.222962900065,N/A,-2.200766213711347e-06
ZTF17aaaabfj,150,N/A (No catsHTM match),,,,58372.45376159996,60568.42693290021,2018-09-11T10:53:25.002236416+00:00,2024-09-15T10:14:47.002578432+00:00,2195.9731713002548,N/A,-1.6631545527445724e-06
ZTF17aaaabfk,86,N/A (No catsHTM match),,,,58382.466886600014,60761.20015050005,2018-09-21T11:12:19.002241280+00:00,2025-03-27T04:48:13.003204352+00:00,2378.733263900038,N/A,0.027724257916543982
ZTF17aaaabfm,140,N/A (No catsHTM match),,,,58378.42563659977,60314.18017360009,2018-09-17T10:12:55.002220288+00:00,2024-01-05T04:19:26.999047936+00:00,1935.7545370003209,N/A,0.02048523270640945
ZTF17aaaabfw,85,N/A (No catsHTM match),,,,58346.489467599895,60860.4841781999,2018-08-16T11:44:50.000631040+00:00,2025-07-04T11:37:12.996471296+00:00,2513.994710600004,N/A,-1.9605430456870465e-06
ZTF17aaaabfx,101,N/A (No catsHTM match),,,,58376.48984949989,60966.3472684999,2018-09-15T11:45:22.996790784+00:00,2025-10-18T08:20:03.998391296+00:00,2589.857419000007,N/A,-2.087742550171967e-06
ZTF17aaaabls,117,N/A (No catsHTM match),,,,58347.42665510019,60929.34539349983,2018-08-17T10:14:23.000656640+00:00,2025-09-11T08:17:21.998384896+00:00,2581.9187383996323,N/A,-2.112347851079832e-06
ZTF17aaaabnu,72,N/A (No catsHTM match),,,,58370.443368100096,60846.48216440016,2018-09-09T10:38:27.003848192+00:00,2025-06-20T11:34:19.004174080+00:00,2476.0387963000685,N/A,-1.958023184700508e-06
ZTF17aaaabnz,23,N/A (No catsHTM match),,,,59110.46457180008,60724.13702550018,2020-09-18T11:08:59.003527168+00:00,2025-02-18T03:17:19.003215616+00:00,1613.6724537000991,N/A,-3.194499076153434e-06
ZTF17aaaabsb,53,1.018601,,,4362.4128215894,58461.266307900194,60634.28179399995,2018-12-09T06:23:29.002576896+00:00,2024-11-20T06:45:47.001595904+00:00,2173.0154860997573,8.182073684392416,0.0996769006582755
